Water Type,Date,Year,Month,Location,Latitude,Longitude,"Carbon, Organic, Dissolved as C :- {DOC}",pH,Nitrate as N,"Oxygen, Dissolved as O2",text
GROUNDWATER,2013-07,2013,7,"PINCHINTHORPE, LOW FARM SPRING",54.52787120182508,-1.1200338764188051,2.93,0.0,0.196,7.68,"Dissolved Organic Carbon Content = 2.93           , pH =           0.0           , Nitrate as N = 0.196           , Dissolved Oxygen as O2 = 7.68"
GROUNDWATER,2013-10,2013,10,HURY FARM,54.579331947344905,-2.0607675176590723,7.21,0.0,6.61,9.51,"Dissolved Organic Carbon Content = 7.21           , pH =           0.0           , Nitrate as N = 6.61           , Dissolved Oxygen as O2 = 9.51"
GROUNDWATER,2014-01,2014,1,BLAXTER COTTAGES SPRING SUPPLY FROM TAP,55.20999732573828,-2.1048488681147792,0.0,0.0,0.0,0.0,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 0.0           , Dissolved Oxygen as O2 = 0.0"
GROUNDWATER,2014-01,2014,1,SPRING EAST OF BLAXTER QUARRY,55.20664765860221,-2.1024359406509543,0.0,0.0,0.0,0.0,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 0.0           , Dissolved Oxygen as O2 = 0.0"
GROUNDWATER,2014-02,2014,2,BLAXTER COTTAGES SPRING SUPPLY FROM TAP,55.20999732573828,-2.1048488681147792,0.0,0.0,0.0,0.0,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 0.0           , Dissolved Oxygen as O2 = 0.0"
GROUNDWATER,2014-02,2014,2,SPRING EAST OF BLAXTER QUARRY,55.20664765860221,-2.1024359406509543,0.0,0.0,0.0,0.0,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 0.0           , Dissolved Oxygen as O2 = 0.0"
GROUNDWATER,2014-03,2014,3,BLAXTER COTTAGES SPRING SUPPLY FROM TAP,55.20999732573828,-2.1048488681147792,0.0,0.0,0.0,0.0,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 0.0           , Dissolved Oxygen as O2 = 0.0"
GROUNDWATER,2014-03,2014,3,"PINCHINTHORPE, LOW FARM SPRING",54.52787120182508,-1.1200338764188051,0.76,0.0,0.246,8.77,"Dissolved Organic Carbon Content = 0.76           , pH =           0.0           , Nitrate as N = 0.246           , Dissolved Oxygen as O2 = 8.77"
GROUNDWATER,2014-03,2014,3,SPRING EAST OF BLAXTER QUARRY,55.20664765860221,-2.1024359406509543,0.0,0.0,0.0,0.0,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 0.0           , Dissolved Oxygen as O2 = 0.0"
GROUNDWATER,2014-04,2014,4,BLAXTER COTTAGES SPRING SUPPLY FROM TAP,55.20999732573828,-2.1048488681147792,0.0,0.0,0.0,0.0,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 0.0           , Dissolved Oxygen as O2 = 0.0"
GROUNDWATER,2014-04,2014,4,SPRING EAST OF BLAXTER QUARRY,55.20664765860221,-2.1024359406509543,0.0,0.0,0.0,0.0,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 0.0           , Dissolved Oxygen as O2 = 0.0"
GROUNDWATER,2014-05,2014,5,HURY FARM,54.579331947344905,-2.0607675176590723,1.62,0.0,4.92,10.6,"Dissolved Organic Carbon Content = 1.62           , pH =           0.0           , Nitrate as N = 4.92           , Dissolved Oxygen as O2 = 10.6"
GROUNDWATER,2014-07,2014,7,"PINCHINTHORPE, LOW FARM SPRING",54.52787120182508,-1.1200338764188051,2.44,0.0,0.196,6.43,"Dissolved Organic Carbon Content = 2.44           , pH =           0.0           , Nitrate as N = 0.196           , Dissolved Oxygen as O2 = 6.43"
GROUNDWATER,2014-10,2014,10,HURY FARM,54.579331947344905,-2.0607675176590723,3.38,0.0,4.1,10.1,"Dissolved Organic Carbon Content = 3.38           , pH =           0.0           , Nitrate as N = 4.1           , Dissolved Oxygen as O2 = 10.1"
GROUNDWATER,2015-04,2015,4,"PINCHINTHORPE, LOW FARM SPRING",54.52787120182508,-1.1200338764188051,1.05,0.0,0.856,5.72,"Dissolved Organic Carbon Content = 1.05           , pH =           0.0           , Nitrate as N = 0.856           , Dissolved Oxygen as O2 = 5.72"
GROUNDWATER,2015-06,2015,6,HURY FARM,54.579331947344905,-2.0607675176590723,0.9,0.0,6.54,11.9,"Dissolved Organic Carbon Content = 0.9           , pH =           0.0           , Nitrate as N = 6.54           , Dissolved Oxygen as O2 = 11.9"
GROUNDWATER,2015-09,2015,9,"PINCHINTHORPE, LOW FARM SPRING",54.52787120182508,-1.1200338764188051,2.36,0.0,1.42,4.95,"Dissolved Organic Carbon Content = 2.36           , pH =           0.0           , Nitrate as N = 1.42           , Dissolved Oxygen as O2 = 4.95"
GROUNDWATER,2015-10,2015,10,HURY FARM,54.579331947344905,-2.0607675176590723,1.1,0.0,4.67,9.56,"Dissolved Organic Carbon Content = 1.1           , pH =           0.0           , Nitrate as N = 4.67           , Dissolved Oxygen as O2 = 9.56"
GROUNDWATER,2016-03,2016,3,"PINCHINTHORPE, LOW FARM SPRING",54.52787120182508,-1.1200338764188051,2.22,0.0,1.6,5.46,"Dissolved Organic Carbon Content = 2.22           , pH =           0.0           , Nitrate as N = 1.6           , Dissolved Oxygen as O2 = 5.46"
GROUNDWATER,2016-05,2016,5,HURY FARM,54.579331947344905,-2.0607675176590723,0.79,0.0,5.78,12.5,"Dissolved Organic Carbon Content = 0.79           , pH =           0.0           , Nitrate as N = 5.78           , Dissolved Oxygen as O2 = 12.5"
GROUNDWATER,2016-09,2016,9,"PINCHINTHORPE, LOW FARM SPRING",54.52787120182508,-1.1200338764188051,0.81,0.0,1.05,2.34,"Dissolved Organic Carbon Content = 0.81           , pH =           0.0           , Nitrate as N = 1.05           , Dissolved Oxygen as O2 = 2.34"
GROUNDWATER,2016-10,2016,10,HURY FARM,54.579331947344905,-2.0607675176590723,2.65,0.0,4.85,10.5,"Dissolved Organic Carbon Content = 2.65           , pH =           0.0           , Nitrate as N = 4.85           , Dissolved Oxygen as O2 = 10.5"
GROUNDWATER,2016-11,2016,11,SPRING  - SMEAFIELD,55.63539399089599,-1.8541403763784303,0.0,0.0,0.526,0.0,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 0.526           , Dissolved Oxygen as O2 = 0.0"
GROUNDWATER,2017-01,2017,1,SPRING  - SMEAFIELD,55.63539399089599,-1.8541403763784303,0.0,0.0,0.196,0.0,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 0.196           , Dissolved Oxygen as O2 = 0.0"
GROUNDWATER,2017-01,2017,1,SPRING - BUCKTON FARM,55.63563037787975,-1.8915788606768427,0.0,0.0,0.566,0.0,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 0.566           , Dissolved Oxygen as O2 = 0.0"
GROUNDWATER,2017-02,2017,2,SPRING  - SMEAFIELD,55.63539399089599,-1.8541403763784303,0.0,0.0,0.206,0.0,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 0.206           , Dissolved Oxygen as O2 = 0.0"
GROUNDWATER,2017-02,2017,2,SPRING - BUCKTON FARM,55.63563037787975,-1.8915788606768427,0.0,0.0,0.566,0.0,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 0.566           , Dissolved Oxygen as O2 = 0.0"
GROUNDWATER,2017-03,2017,3,"PINCHINTHORPE, LOW FARM SPRING",54.52787120182508,-1.1200338764188051,0.85,0.0,0.976,1.8,"Dissolved Organic Carbon Content = 0.85           , pH =           0.0           , Nitrate as N = 0.976           , Dissolved Oxygen as O2 = 1.8"
GROUNDWATER,2017-04,2017,4,SPRING  - SMEAFIELD,55.63539399089599,-1.8541403763784303,0.0,0.0,0.196,0.0,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 0.196           , Dissolved Oxygen as O2 = 0.0"
GROUNDWATER,2017-04,2017,4,SPRING - BUCKTON FARM,55.63563037787975,-1.8915788606768427,0.0,0.0,0.536,0.0,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 0.536           , Dissolved Oxygen as O2 = 0.0"
GROUNDWATER,2017-05,2017,5,HURY FARM,54.579331947344905,-2.0607675176590723,0.91,0.0,5.99,10.8,"Dissolved Organic Carbon Content = 0.91           , pH =           0.0           , Nitrate as N = 5.99           , Dissolved Oxygen as O2 = 10.8"
GROUNDWATER,2017-05,2017,5,SPRING  - SMEAFIELD,55.63539399089599,-1.8541403763784303,0.0,0.0,0.196,0.0,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 0.196           , Dissolved Oxygen as O2 = 0.0"
GROUNDWATER,2017-05,2017,5,SPRING - BUCKTON FARM,55.63563037787975,-1.8915788606768427,0.0,0.0,0.486,0.0,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 0.486           , Dissolved Oxygen as O2 = 0.0"
GROUNDWATER,2017-06,2017,6,SPRING  - SMEAFIELD,55.63539399089599,-1.8541403763784303,0.0,0.0,0.196,0.0,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 0.196           , Dissolved Oxygen as O2 = 0.0"
GROUNDWATER,2017-06,2017,6,SPRING - BUCKTON FARM,55.63563037787975,-1.8915788606768427,0.0,0.0,0.546,0.0,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 0.546           , Dissolved Oxygen as O2 = 0.0"
GROUNDWATER,2017-07,2017,7,SPRING  - SMEAFIELD,55.63539399089599,-1.8541403763784303,0.0,0.0,0.196,0.0,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 0.196           , Dissolved Oxygen as O2 = 0.0"
GROUNDWATER,2017-07,2017,7,SPRING - BUCKTON FARM,55.63563037787975,-1.8915788606768427,0.0,0.0,0.516,0.0,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 0.516           , Dissolved Oxygen as O2 = 0.0"
GROUNDWATER,2017-08,2017,8,SPRING  - SMEAFIELD,55.63539399089599,-1.8541403763784303,0.0,0.0,0.196,0.0,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 0.196           , Dissolved Oxygen as O2 = 0.0"
GROUNDWATER,2017-08,2017,8,SPRING - BUCKTON FARM,55.63563037787975,-1.8915788606768427,0.0,0.0,0.516,0.0,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 0.516           , Dissolved Oxygen as O2 = 0.0"
GROUNDWATER,2017-09,2017,9,"PINCHINTHORPE, LOW FARM SPRING",54.52787120182508,-1.1200338764188051,0.0,0.0,0.966,2.37,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 0.966           , Dissolved Oxygen as O2 = 2.37"
GROUNDWATER,2017-09,2017,9,SPRING  - SMEAFIELD,55.63539399089599,-1.8541403763784303,0.0,0.0,0.196,0.0,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 0.196           , Dissolved Oxygen as O2 = 0.0"
GROUNDWATER,2017-09,2017,9,SPRING - BUCKTON FARM,55.63563037787975,-1.8915788606768427,0.0,0.0,0.486,0.0,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 0.486           , Dissolved Oxygen as O2 = 0.0"
GROUNDWATER,2017-10,2017,10,HURY FARM,54.579331947344905,-2.0607675176590723,0.0,0.0,8.34,10.3,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 8.34           , Dissolved Oxygen as O2 = 10.3"
GROUNDWATER,2017-10,2017,10,SPRING  - SMEAFIELD,55.63539399089599,-1.8541403763784303,0.0,0.0,0.196,0.0,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 0.196           , Dissolved Oxygen as O2 = 0.0"
GROUNDWATER,2017-10,2017,10,SPRING - BUCKTON FARM,55.63563037787975,-1.8915788606768427,0.0,0.0,0.516,0.0,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 0.516           , Dissolved Oxygen as O2 = 0.0"
GROUNDWATER,2018-03,2018,3,HURY FARM,54.579331947344905,-2.0607675176590723,2.36,0.0,8.79,11.8,"Dissolved Organic Carbon Content = 2.36           , pH =           0.0           , Nitrate as N = 8.79           , Dissolved Oxygen as O2 = 11.8"
GROUNDWATER,2018-03,2018,3,"PINCHINTHORPE, LOW FARM SPRING",54.52787120182508,-1.1200338764188051,0.88,0.0,0.826,2.11,"Dissolved Organic Carbon Content = 0.88           , pH =           0.0           , Nitrate as N = 0.826           , Dissolved Oxygen as O2 = 2.11"
GROUNDWATER,2018-09,2018,9,"PINCHINTHORPE, LOW FARM SPRING",54.52787120182508,-1.1200338764188051,0.0,0.0,1.17,3.12,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 1.17           , Dissolved Oxygen as O2 = 3.12"
GROUNDWATER,2018-10,2018,10,HURY FARM,54.579331947344905,-2.0607675176590723,0.0,0.0,6.0,11.1,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 6.0           , Dissolved Oxygen as O2 = 11.1"
GROUNDWATER,2019-03,2019,3,HURY FARM,54.579331947344905,-2.0607675176590723,1.1,0.0,10.4,11.7,"Dissolved Organic Carbon Content = 1.1           , pH =           0.0           , Nitrate as N = 10.4           , Dissolved Oxygen as O2 = 11.7"
GROUNDWATER,2019-03,2019,3,"PINCHINTHORPE, LOW FARM SPRING",54.52787120182508,-1.1200338764188051,0.92,0.0,0.496,2.02,"Dissolved Organic Carbon Content = 0.92           , pH =           0.0           , Nitrate as N = 0.496           , Dissolved Oxygen as O2 = 2.02"
GROUNDWATER,2019-11,2019,11,HURY FARM,54.579331947344905,-2.0607675176590723,2.8,0.0,10.0,10.9,"Dissolved Organic Carbon Content = 2.8           , pH =           0.0           , Nitrate as N = 10.0           , Dissolved Oxygen as O2 = 10.9"
GROUNDWATER,2020-03,2020,3,HURY FARM,54.579331947344905,-2.0607675176590723,0.0,6.5,8.39,11.9,"Dissolved Organic Carbon Content = 0.0           , pH =           6.5           , Nitrate as N = 8.39           , Dissolved Oxygen as O2 = 11.9"
POND / LAKE / RESERVOIR WATER,2002-04,2002,4,"HELL KETTLES, SOUTH POND",54.49220833025132,-1.5667170997320712,0.0,0.0,0.0,0.0,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 0.0           , Dissolved Oxygen as O2 = 0.0"
POND / LAKE / RESERVOIR WATER,2002-05,2002,5,"HELL KETTLES, SOUTH POND",54.49220833025132,-1.5667170997320712,0.0,7.8,0.0,0.0,"Dissolved Organic Carbon Content = 0.0           , pH =           7.8           , Nitrate as N = 0.0           , Dissolved Oxygen as O2 = 0.0"
POND / LAKE / RESERVOIR WATER,2002-06,2002,6,"HELL KETTLES, SOUTH POND",54.49220833025132,-1.5667170997320712,0.0,7.8,0.0,0.0,"Dissolved Organic Carbon Content = 0.0           , pH =           7.8           , Nitrate as N = 0.0           , Dissolved Oxygen as O2 = 0.0"
POND / LAKE / RESERVOIR WATER,2002-07,2002,7,"HELL KETTLES, SOUTH POND",54.49220833025132,-1.5667170997320712,0.0,0.0,0.0,0.0,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 0.0           , Dissolved Oxygen as O2 = 0.0"
POND / LAKE / RESERVOIR WATER,2002-09,2002,9,"HELL KETTLES, SOUTH POND",54.49220833025132,-1.5667170997320712,0.0,0.0,0.0,0.0,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 0.0           , Dissolved Oxygen as O2 = 0.0"
POND / LAKE / RESERVOIR WATER,2004-07,2004,7,GRASSHOLME RES - OUTFLOW NORTH (WFD),54.601155023630334,-2.0851796714273942,0.0,7.8,0.0,9.57,"Dissolved Organic Carbon Content = 0.0           , pH =           7.8           , Nitrate as N = 0.0           , Dissolved Oxygen as O2 = 9.57"
POND / LAKE / RESERVOIR WATER,2004-08,2004,8,GRASSHOLME RES - OUTFLOW NORTH (WFD),54.601155023630334,-2.0851796714273942,0.0,7.8,0.0,9.01,"Dissolved Organic Carbon Content = 0.0           , pH =           7.8           , Nitrate as N = 0.0           , Dissolved Oxygen as O2 = 9.01"
POND / LAKE / RESERVOIR WATER,2004-09,2004,9,GRASSHOLME RES - OUTFLOW NORTH (WFD),54.601155023630334,-2.0851796714273942,0.0,7.2,0.0,8.9,"Dissolved Organic Carbon Content = 0.0           , pH =           7.2           , Nitrate as N = 0.0           , Dissolved Oxygen as O2 = 8.9"
POND / LAKE / RESERVOIR WATER,2004-10,2004,10,GRASSHOLME RES - OUTFLOW NORTH (WFD),54.601155023630334,-2.0851796714273942,0.0,7.6,0.0,10.4,"Dissolved Organic Carbon Content = 0.0           , pH =           7.6           , Nitrate as N = 0.0           , Dissolved Oxygen as O2 = 10.4"
POND / LAKE / RESERVOIR WATER,2004-11,2004,11,GRASSHOLME RES - OUTFLOW NORTH (WFD),54.601155023630334,-2.0851796714273942,0.0,7.15,0.0,10.850000000000001,"Dissolved Organic Carbon Content = 0.0           , pH =           7.15           , Nitrate as N = 0.0           , Dissolved Oxygen as O2 = 10.850000000000001"
POND / LAKE / RESERVOIR WATER,2005-01,2005,1,GRASSHOLME RES - OUTFLOW NORTH (WFD),54.601155023630334,-2.0851796714273942,9.73,6.95,0.0,13.2,"Dissolved Organic Carbon Content = 9.73           , pH =           6.95           , Nitrate as N = 0.0           , Dissolved Oxygen as O2 = 13.2"
POND / LAKE / RESERVOIR WATER,2005-03,2005,3,GRASSHOLME RES - OUTFLOW NORTH (WFD),54.601155023630334,-2.0851796714273942,0.0,7.5,0.0,11.6,"Dissolved Organic Carbon Content = 0.0           , pH =           7.5           , Nitrate as N = 0.0           , Dissolved Oxygen as O2 = 11.6"
POND / LAKE / RESERVOIR WATER,2005-04,2005,4,GRASSHOLME RES - OUTFLOW NORTH (WFD),54.601155023630334,-2.0851796714273942,0.0,7.5,0.0,12.05,"Dissolved Organic Carbon Content = 0.0           , pH =           7.5           , Nitrate as N = 0.0           , Dissolved Oxygen as O2 = 12.05"
POND / LAKE / RESERVOIR WATER,2005-06,2005,6,GRASSHOLME RES - OUTFLOW NORTH (WFD),54.601155023630334,-2.0851796714273942,0.0,7.65,0.0,9.585,"Dissolved Organic Carbon Content = 0.0           , pH =           7.65           , Nitrate as N = 0.0           , Dissolved Oxygen as O2 = 9.585"
POND / LAKE / RESERVOIR WATER,2005-08,2005,8,GRASSHOLME RES - OUTFLOW NORTH (WFD),54.601155023630334,-2.0851796714273942,0.0,7.9,0.0,9.05,"Dissolved Organic Carbon Content = 0.0           , pH =           7.9           , Nitrate as N = 0.0           , Dissolved Oxygen as O2 = 9.05"
POND / LAKE / RESERVOIR WATER,2005-09,2005,9,GRASSHOLME RES - OUTFLOW NORTH (WFD),54.601155023630334,-2.0851796714273942,0.0,0.0,0.0,9.96,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 0.0           , Dissolved Oxygen as O2 = 9.96"
POND / LAKE / RESERVOIR WATER,2006-11,2006,11,BROOMLEE LOUGH AT OVERFLOW,55.02129032519466,-2.3343644831423953,15.0,7.65,0.196,11.8,"Dissolved Organic Carbon Content = 15.0           , pH =           7.65           , Nitrate as N = 0.196           , Dissolved Oxygen as O2 = 11.8"
POND / LAKE / RESERVOIR WATER,2006-12,2006,12,BROOMLEE LOUGH AT OVERFLOW,55.02129032519466,-2.3343644831423953,19.8,7.7,0.196,11.3,"Dissolved Organic Carbon Content = 19.8           , pH =           7.7           , Nitrate as N = 0.196           , Dissolved Oxygen as O2 = 11.3"
POND / LAKE / RESERVOIR WATER,2007-07,2007,7,"HELL KETTLES, SOUTH POND",54.49220833025132,-1.5667170997320712,0.0,7.7,0.196,0.0,"Dissolved Organic Carbon Content = 0.0           , pH =           7.7           , Nitrate as N = 0.196           , Dissolved Oxygen as O2 = 0.0"
POND / LAKE / RESERVOIR WATER,2012-07,2012,7,BROOMLEE LOUGH AT OVERFLOW,55.02129032519466,-2.3343644831423953,13.2,0.0,0.0,0.0,"Dissolved Organic Carbon Content = 13.2           , pH =           0.0           , Nitrate as N = 0.0           , Dissolved Oxygen as O2 = 0.0"
POND / LAKE / RESERVOIR WATER,2012-08,2012,8,BROOMLEE LOUGH AT OVERFLOW,55.02129032519466,-2.3343644831423953,0.0,0.0,0.0,0.0,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 0.0           , Dissolved Oxygen as O2 = 0.0"
POND / LAKE / RESERVOIR WATER,2012-08,2012,8,GREENLEE LOUGH FIXED,55.018592968198355,-2.3660903149689867,0.0,0.0,0.0,0.0,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 0.0           , Dissolved Oxygen as O2 = 0.0"
POND / LAKE / RESERVOIR WATER,2012-09,2012,9,BROOMLEE LOUGH AT OVERFLOW,55.02129032519466,-2.3343644831423953,0.0,0.0,0.0,0.0,"Dissolved Organic Carbon Content = 0.0           , pH =           0.0           , Nitrate as N = 0.0           , Dissolved Oxygen as O2 = 0.0"
POND / LAKE / RESERVOIR WATER,2013-12,2013,12,GREENLEE LOUGH FIXED,55.018592968198355,-2.3660903149689867,12.4,7.0,0.0,0.0,"Dissolved Organic Carbon Content = 12.4           , pH =           7.0           , Nitrate as N = 0.0           , Dissolved Oxygen as O2 = 0.0"
